,city,country,lat,lon,date,humidity,clouds,wind,max_temp
0,asyut,EG,27.18,27.18,1535216400,46,0,13.87,93.2
1,najran,SA,17.54,17.54,1535216400,13,40,4.7,95.0
2,puerto ayora,EC,-0.74,-0.74,1535216400,65,75,17.22,77.0
3,port alfred,ZA,-33.59,-33.59,1535219917,98,0,5.73,62.95
4,ostrovnoy,RU,68.05,68.05,1535219917,65,56,24.18,64.48
5,pavlivka,UA,48.13,48.13,1535219917,29,0,8.75,68.08
6,kralendijk,BQ,12.15,12.15,1535216100,59,40,20.8,89.6
7,mahebourg,MU,-20.41,-20.41,1535216400,69,75,12.75,73.4
8,ushuaia,AR,-54.81,-54.81,1535216400,48,40,8.05,44.6
9,hermanus,ZA,-34.42,-34.42,1535219918,100,92,14.79,51.7
10,pangnirtung,CA,66.15,66.15,1535216400,81,75,12.75,44.6
11,rorvik,NO,64.86,64.86,1535219919,100,92,10.65,50.98
12,port elizabeth,US,39.31,39.31,1535216160,56,20,5.82,79.7
13,tecoanapa,MX,16.99,16.99,1535215440,74,40,4.7,86.0
14,busselton,AU,-33.64,-33.64,1535219478,100,64,6.17,52.96
15,jamestown,AU,-33.21,-33.21,1535219716,77,0,2.37,34.33
16,hovd,NO,63.83,63.83,1535217600,76,75,8.05,53.6
17,east london,ZA,-33.02,-33.02,1535216400,63,0,6.93,62.6
18,hobart,AU,-42.88,-42.88,1535218200,70,0,10.29,46.4
19,saint-philippe,CA,45.36,45.36,1535218500,53,40,5.82,84.2
20,carballo,ES,43.21,43.21,1535218200,68,20,9.17,68.0
21,tevriz,RU,57.51,57.51,1535219921,88,56,8.52,60.52
22,tual,ID,-5.67,-5.67,1535219921,100,88,7.96,78.7
23,albany,US,42.65,42.65,1535216100,55,75,8.05,80.6
24,rikitea,PF,-23.12,-23.12,1535219922,100,0,14.0,72.22
25,ixtapa,MX,20.71,20.71,1535215500,74,40,2.15,86.0
26,tuktoyaktuk,CA,69.44,69.44,1535216400,87,40,5.82,46.4
27,samborondon,EC,-2.27,-2.27,1535216400,65,90,3.36,77.0
28,bonavista,CA,48.65,48.65,1535219686,65,0,9.42,74.11
29,hilo,US,19.71,19.71,1535215980,93,75,6.93,73.04
30,simpang,MY,4.82,4.82,1535216400,69,75,5.82,80.6
31,arraial do cabo,BR,-22.97,-22.97,1535220000,65,75,16.11,77.0
32,barrow,AR,-38.31,-38.31,1535219924,52,0,9.42,53.68
33,esperance,TT,10.24,10.24,1535216400,74,75,13.87,87.8
34,ilulissat,GL,69.22,69.22,1535215800,87,75,11.41,42.8
35,norman wells,CA,65.28,65.28,1535216400,100,90,4.7,48.2
36,tigil,RU,57.8,57.8,1535219925,97,92,6.73,52.33
37,terney,RU,45.05,45.05,1535219925,100,80,10.65,59.35
38,bay roberts,CA,47.58,47.58,1535216400,57,90,12.75,77.0
39,hithadhoo,MV,-0.6,-0.6,1535219926,100,68,5.95,79.78
40,margate,AU,-43.03,-43.03,1535218200,70,0,10.29,46.4
41,egvekinot,RU,66.32,66.32,1535219926,100,92,2.59,39.91
42,nabire,ID,-3.36,-3.36,1535219458,98,80,1.92,66.82
43,georgetown,GY,6.8,6.8,1535216400,59,75,11.41,89.6
44,homer,US,59.64,59.64,1535215980,86,90,4.61,53.96
45,khatanga,RU,71.98,71.98,1535219927,77,20,11.1,49.45
46,sampit,ID,-2.54,-2.54,1535219928,87,88,4.72,77.26
47,madison,US,43.07,43.07,1535218500,69,20,5.5,80.06
48,saldanha,PT,41.42,41.42,1535219928,29,0,3.6,81.4
49,rondonopolis,BR,-16.46,-16.46,1535219928,51,80,7.07,87.43
50,clinton,US,41.84,41.84,1535218620,74,1,4.7,84.02
51,berlevag,NO,70.86,70.86,1535219929,93,44,8.75,53.95
52,broome,GB,52.47,52.47,1535217600,63,20,5.82,63.14
53,tuatapere,NZ,-46.13,-46.13,1535219930,94,0,19.71,49.72
54,nanortalik,GL,60.14,60.14,1535219930,99,64,14.0,42.25
55,faanui,PF,-16.48,-16.48,1535219931,99,88,9.08,79.96
56,bundaberg,AU,-24.87,-24.87,1535219931,100,64,8.97,64.93
57,komsomolskiy,RU,67.55,67.55,1535219931,70,0,5.5,45.13
58,krasnorechenskiy,RU,44.63,44.63,1535219932,97,80,2.15,55.57
59,bluff,AU,-23.58,-23.58,1535219932,95,68,7.18,59.89
60,marsh harbour,BS,26.54,26.54,1535219493,95,0,12.77,85.81
61,ketchikan,US,55.34,55.34,1535216160,80,90,13.87,59.0
62,hualmay,PE,-11.1,-11.1,1535219449,67,24,5.5,68.98
63,helena,US,46.59,46.59,1535219580,40,1,4.7,66.92
64,amapa,HN,15.09,15.09,1535220000,55,40,3.36,89.6
65,cape town,ZA,-33.93,-33.93,1535217000,93,90,18.34,51.8
66,zaykovo,RU,57.56,57.56,1535219933,90,48,10.2,61.42
67,qaanaaq,GL,77.48,77.48,1535219934,92,0,4.16,37.84
68,tiksi,RU,71.64,71.64,1535219934,100,0,6.4,38.38
69,cockburn town,TC,21.46,21.46,1535219934,94,80,18.7,84.37
70,kapaa,US,22.08,22.08,1535215980,90,90,19.46,78.98
71,yellowknife,CA,62.45,62.45,1535216400,66,75,11.41,53.6
72,san patricio,PY,-26.98,-26.98,1535219935,58,0,5.5,60.34
73,butaritari,KI,3.07,3.07,1535219444,100,0,3.15,84.1
74,gat,SN,14.69,14.69,1535219328,61,12,12.44,88.51
75,mataura,NZ,-46.19,-46.19,1535219936,92,0,9.08,37.39
76,bambous virieux,MU,-20.34,-20.34,1535216400,69,75,12.75,73.4
77,avarua,CK,-21.21,-21.21,1535216400,88,20,4.7,69.8
78,carayao,PY,-25.18,-25.18,1535219937,48,0,8.75,63.4
79,faya,SA,18.39,18.39,1535216400,53,20,5.82,78.8
80,la ronge,CA,55.1,55.1,1535216400,81,90,6.93,48.2
81,vaini,IN,15.34,15.34,1535219938,98,92,5.73,67.63
82,punta arenas,CL,-53.16,-53.16,1535216400,56,75,12.75,44.6
83,batemans bay,AU,-35.71,-35.71,1535219938,100,44,3.15,45.67
84,aklavik,CA,68.22,68.22,1535216400,81,75,4.7,48.2
85,tautira,PF,-17.73,-17.73,1535218200,69,20,3.36,78.8
86,meulaboh,ID,4.14,4.14,1535219447,100,24,2.59,79.51
87,eureka,US,40.8,40.8,1535218500,72,1,5.82,62.6
88,nantucket,US,41.28,41.28,1535217300,47,1,8.05,77.0
89,longyearbyen,NO,78.22,78.22,1535215800,64,75,21.92,39.2
90,kodiak,US,39.95,39.95,1535219580,61,1,11.41,89.06
91,farafangana,MG,-22.82,-22.82,1535219940,96,0,9.08,72.13
92,sandviken,SE,60.62,60.62,1535219941,74,88,7.63,56.92
93,husavik,CA,50.56,50.56,1535219336,90,0,13.22,67.18
94,bilma,NE,18.69,18.69,1535219450,27,32,8.52,95.53
95,neftcala,AZ,39.37,39.37,1535219941,86,0,5.06,73.3
96,saint george,GR,39.45,39.45,1535217600,65,40,5.82,80.6
97,cap malheureux,MU,-19.98,-19.98,1535216400,69,75,12.75,73.4
98,chapais,CA,49.78,49.78,1535216400,64,75,4.7,71.6
99,chokurdakh,RU,70.62,70.62,1535219943,93,88,5.17,39.28
100,tromso,NO,69.65,69.65,1535217600,87,75,18.34,51.8
101,porto belo,BR,-27.15,-27.15,1535216400,40,0,19.46,69.8
102,yeniseysk,RU,58.45,58.45,1535219943,96,8,2.59,50.71
103,torbay,CA,47.66,47.66,1535216400,57,90,12.75,77.0
104,luderitz,NA,-26.65,-26.65,1535219944,94,0,2.15,53.5
105,kissidougou,GN,9.19,9.19,1535219944,100,92,8.08,72.22
106,atar,MR,20.52,20.52,1535219945,11,0,8.52,108.76
107,galbshtadt,RU,53.23,53.23,1535219945,94,68,8.08,57.1
108,chuy,UY,-33.69,-33.69,1535219945,78,0,28.32,53.05
109,nikolskoye,RU,59.7,59.7,1535216400,77,75,6.71,68.0
110,westport,IE,53.8,53.8,1535218200,62,90,6.93,57.2
111,kieta,PG,-6.22,-6.22,1535219946,98,12,1.7,76.09
112,lagoa,PT,37.14,37.14,1535218200,61,0,5.82,82.4
113,tasiilaq,GL,65.61,65.61,1535215800,100,75,9.17,42.8
114,palmas de monte alto,BR,-14.26,-14.26,1535219947,29,0,9.64,90.49
115,bodden town,KY,19.28,19.28,1535216400,70,40,10.29,87.8
116,kavaratti,IN,10.57,10.57,1535219948,95,32,12.66,82.66
117,chebsara,RU,59.2,59.2,1535219948,66,0,7.18,62.05
118,umm kaddadah,SD,13.6,13.6,1535219948,48,64,9.75,84.73
119,kuna,US,43.49,43.49,1535218500,32,1,6.93,70.7
120,basco,US,40.33,40.33,1535218500,62,1,13.87,89.6
121,mundra,IN,22.84,22.84,1535219949,95,92,15.12,78.7
122,salalah,OM,17.01,17.01,1535215800,100,90,4.7,75.2
123,pacific grove,US,36.62,36.62,1535218500,80,40,3.36,60.8
124,airai,TL,-8.93,-8.93,1535219950,95,24,2.04,66.55
125,ahipara,NZ,-35.17,-35.17,1535219950,93,80,10.98,54.94
126,praia,BR,-20.25,-20.25,1535216400,37,40,8.05,82.4
127,boyle,IE,53.97,53.97,1535218200,62,90,6.93,57.2
128,leningradskiy,RU,69.38,69.38,1535219951,100,92,11.21,36.67
129,pevek,RU,69.7,69.7,1535219952,100,92,9.98,35.59
130,touros,BR,-5.2,-5.2,1535219953,73,68,20.71,82.48
131,banes,CU,20.96,20.96,1535215800,55,40,14.99,89.6
132,honningsvag,NO,70.98,70.98,1535219953,98,92,1.7,51.43
133,ust-kuyga,RU,70.0,70.0,1535219953,84,0,2.59,29.83
134,provideniya,RU,64.42,64.42,1535219954,100,80,10.42,45.76
135,broken hill,AU,-31.97,-31.97,1535219467,89,0,6.73,41.26
136,kanniyakumari,IN,8.08,8.08,1535219954,96,48,20.27,78.25
137,sitka,US,37.17,37.17,1535219471,65,0,11.1,85.72
138,likasi,CD,-10.99,-10.99,1535219955,39,0,9.53,71.77
139,victoria,BN,5.28,5.28,1535218200,88,75,1.12,82.4
140,belyy yar,RU,53.6,53.6,1535216400,82,0,4.47,64.4
141,ligayan,PH,4.65,4.65,1535219955,100,80,7.96,83.02
142,ponta do sol,BR,-20.63,-20.63,1535219956,51,32,5.06,80.95
143,bredasdorp,ZA,-34.53,-34.53,1535216400,45,92,16.11,62.6
144,zalari,RU,53.57,53.57,1535219956,90,0,8.19,54.13
145,atuona,PF,-9.8,-9.8,1535219956,100,56,21.05,79.24
146,katsuura,JP,33.93,33.93,1535219957,90,0,4.94,75.73
147,skjervoy,NO,70.03,70.03,1535219531,100,100,4.16,51.52
148,new norfolk,AU,-42.78,-42.78,1535218200,70,0,10.29,46.4
149,saskylakh,RU,71.97,71.97,1535219957,89,0,3.71,41.26
150,karratha,AU,-20.74,-20.74,1535219957,79,0,3.6,47.56
151,deputatskiy,RU,69.3,69.3,1535219958,86,8,2.48,25.6
152,coahuayana,MX,18.62,18.62,1535219495,78,36,3.04,75.37
153,kaeo,NZ,-35.1,-35.1,1535219958,99,56,6.17,49.27
154,lazaro cardenas,MX,28.39,28.39,1535215200,47,40,0.36,78.8
155,smithers,CA,54.78,54.78,1535216400,76,75,8.05,55.4
156,bosaso,SO,11.28,11.28,1535219959,88,24,4.72,86.89
157,znamenskoye,RU,57.13,57.13,1535219959,97,88,14.12,59.62
158,mont-de-marsan,FR,43.89,43.89,1535218200,68,0,2.24,71.6
159,sola,NO,58.89,58.89,1535217600,76,40,12.75,55.4
160,nizwa,OM,22.93,22.93,1535219960,24,8,3.49,79.42
161,souillac,FR,45.6,45.6,1535218200,63,90,9.17,66.2
162,onega,RU,63.91,63.91,1535219961,69,48,12.66,65.92
163,windhoek,NA,-22.57,-22.57,1535220000,6,0,7.18,66.2
164,lundazi,ZM,-12.29,-12.29,1535219961,44,0,15.23,68.26
165,gizo,IL,31.8,31.8,1535217600,65,40,6.93,82.4
166,dingle,PH,11.0,11.0,1535219962,84,88,6.17,78.52
167,sobolevo,RU,54.43,54.43,1535219962,63,0,7.96,62.95
168,alyangula,AU,-13.85,-13.85,1535219517,100,8,8.75,73.93
169,maragogi,BR,-9.01,-9.01,1535219369,84,92,13.78,77.71
170,port-gentil,GA,-0.72,-0.72,1535216400,74,20,12.75,80.6
171,katobu,ID,-4.94,-4.94,1535219963,98,0,5.61,77.8
172,linjiang,CN,41.81,41.81,1535219963,95,92,7.52,58.0
173,dikson,RU,73.51,73.51,1535219963,100,64,11.54,48.1
174,cayenne,GF,4.94,4.94,1535216400,59,0,11.41,89.6
175,san cristobal,EC,-0.39,-0.39,1535216400,34,75,18.34,64.4
176,kayes,ML,14.44,14.44,1535219526,56,12,4.16,94.72
177,harsany,HU,47.97,47.97,1535219964,62,8,6.62,74.56
178,goure,NE,13.98,13.98,1535219965,65,68,6.96,81.22
179,raton,US,36.9,36.9,1535219580,36,1,12.75,82.04
180,auki,NG,12.18,12.18,1535219965,91,76,8.63,74.02
181,linqing,CN,36.85,36.85,1535219966,72,0,9.53,73.57
182,aswan,EG,24.09,24.09,1535216400,12,0,5.82,102.2
183,fort nelson,CA,58.81,58.81,1535216400,93,90,4.7,50.0
184,belmonte,PT,40.36,40.36,1535219717,27,0,3.38,82.93
185,jablah,SY,35.36,35.36,1535216400,74,40,9.17,82.4
186,port hardy,CA,50.7,50.7,1535216400,100,90,3.36,55.4
187,barra do garcas,BR,-15.89,-15.89,1535219967,31,64,1.36,93.46
188,hargeysa,SO,9.56,9.56,1535219967,81,48,13.11,65.38
189,menongue,AO,-14.66,-14.66,1535219968,24,68,4.72,76.63
190,cabo san lucas,MX,22.89,22.89,1535215500,66,5,3.36,89.6
191,upernavik,GL,72.79,72.79,1535219968,96,92,27.09,40.18
192,mount gambier,AU,-37.83,-37.83,1535219969,93,88,3.49,44.5
193,haines junction,CA,60.75,60.75,1535219969,62,0,2.59,47.29
194,krasnoarmeysk,RU,56.12,56.12,1535216400,40,0,6.71,73.4
195,mto wa mbu,TZ,-3.38,-3.38,1535219969,70,76,11.1,70.42
196,vardo,US,39.62,39.62,1535219220,42,40,6.93,82.4
197,rawson,AR,-43.3,-43.3,1535219970,32,0,13.22,63.13
198,ancud,CL,-41.87,-41.87,1535219970,100,92,5.61,51.97
199,narsaq,GL,60.91,60.91,1535215800,61,75,12.75,48.2
200,ocos,GT,14.51,14.51,1535216400,66,40,6.93,86.0
201,constitucion,MX,23.99,23.99,1535215200,49,5,3.36,71.6
202,ribeira grande,PT,38.52,38.52,1535218200,61,20,10.29,78.8
203,tanabe,JP,33.73,33.73,1535219972,97,100,5.5,77.98
204,arenapolis,BR,-14.45,-14.45,1535219972,78,36,10.76,75.28
205,castro,CL,-42.48,-42.48,1535219972,99,92,5.5,51.52
206,bubaque,GW,11.28,11.28,1535216400,66,40,9.17,87.8
207,mitu,IR,36.2,36.2,1535219973,63,0,1.14,65.47
208,bethel,US,60.79,60.79,1535219717,99,92,9.98,50.26
209,biak,ID,-0.91,-0.91,1535219974,99,92,3.38,76.27
210,flin flon,CA,54.77,54.77,1535216400,87,90,8.05,48.2
211,baton rouge,US,30.45,30.45,1535215980,53,20,5.82,89.06
212,alofi,NU,-19.06,-19.06,1535216400,94,68,8.05,71.6
213,northam,GB,51.04,51.04,1535217600,48,20,10.29,62.6
214,henties bay,NA,-22.12,-22.12,1535219976,99,0,12.66,55.48
215,tumarbong,PH,10.38,10.38,1535219976,100,8,10.42,81.85
216,cao bang,VN,22.67,22.67,1535219976,95,8,2.59,67.72
217,jumla,NP,29.28,29.28,1535219976,91,92,2.71,38.38
218,bata,GQ,1.87,1.87,1535216400,83,40,9.17,80.6
219,saint-augustin,FR,44.83,44.83,1535218200,68,90,6.93,68.0
220,ust-nera,RU,64.57,64.57,1535219977,94,76,2.04,42.43
221,myanaung,MM,18.28,18.28,1535219978,100,92,10.54,75.28
222,samarai,PG,-10.62,-10.62,1535219978,100,100,14.0,75.73
223,vostok,RU,46.45,46.45,1535219979,100,92,2.37,51.88
224,arona,IT,45.76,45.76,1535217600,56,75,5.82,71.6
225,shimoda,JP,34.7,34.7,1535219979,93,0,13.78,79.6
226,necochea,AR,-38.55,-38.55,1535219979,74,0,12.55,51.61
227,bandarbeyla,SO,9.49,9.49,1535219980,89,0,37.27,76.99
228,hamilton,BM,32.3,32.3,1535216100,70,40,8.05,86.0
229,soe,EE,57.91,57.91,1535215800,82,90,5.82,60.8
230,caceres,CO,5.53,5.53,1535219981,60,0,2.15,81.85
231,apatity,RU,67.57,67.57,1535219981,89,92,9.08,59.26
232,litovko,RU,49.24,49.24,1535219981,85,92,2.37,63.31
233,kalmunai,LK,7.42,7.42,1535219982,98,48,3.04,74.65
234,honiara,SB,-9.43,-9.43,1535216400,100,20,53.02,73.4
235,simao,CN,22.76,22.76,1535219982,98,88,0.69,66.82
236,vanimo,PG,-2.67,-2.67,1535219983,100,76,6.17,77.44
237,stenlille,DK,55.79,55.79,1535217600,87,92,3.36,53.6
238,mar del plata,AR,-46.43,-46.43,1535219869,45,24,18.59,62.05
239,lompoc,US,34.64,34.64,1535218740,77,90,4.7,69.08
240,vila velha,BR,-3.71,-3.71,1535220000,62,0,16.11,86.0
241,ossora,RU,59.24,59.24,1535219479,100,24,3.6,44.41
242,los llanos de aridane,ES,28.66,28.66,1535218200,78,40,8.05,75.2
243,puerto escondido,MX,15.86,15.86,1535215500,70,40,8.05,84.2
244,morgan city,US,29.7,29.7,1535216160,74,75,8.05,89.6
245,sambava,MG,-14.27,-14.27,1535219985,100,64,19.82,73.75
246,sergokala,RU,42.45,42.45,1535216400,73,40,13.42,75.2
247,balabac,PH,7.99,7.99,1535219986,100,64,7.52,84.82
248,severo-kurilsk,RU,50.68,50.68,1535219986,100,64,5.17,47.83
249,lucea,JM,18.44,18.44,1535216400,62,20,18.34,89.6
250,storforshei,NO,66.4,66.4,1535219986,100,92,2.71,40.72
251,high level,CA,58.52,58.52,1535216400,81,75,14.99,44.6
252,shambu,ET,9.57,9.57,1535219987,95,56,1.92,57.91
253,mana,RS,43.52,43.52,1535218200,88,40,1.12,69.8
254,inta,RU,66.04,66.04,1535219987,91,0,2.59,44.23
255,bayburt,TR,40.26,40.26,1535219988,66,0,2.48,57.73
256,emba,CY,34.81,34.81,1535218200,74,40,10.29,80.6
257,ushtobe,KZ,45.25,45.25,1535219988,55,24,3.71,58.9
258,saint-louis,CH,47.59,47.59,1535218200,82,75,5.82,57.2
259,guerrero negro,MX,27.97,27.97,1535219989,63,0,8.41,79.6
260,balakliya,UA,49.46,49.46,1535218200,24,0,11.18,71.6
