,city,country,lat,lon,date,humidity,clouds,wind,max_temp
261,roald,NO,62.58,62.58,1535217600,81,40,9.17,51.8
262,ngozi,BI,-2.91,-2.91,1535219990,95,88,2.48,60.7
263,lebu,ET,8.96,8.96,1535216400,87,75,4.7,59.0
264,karakol,KG,42.49,42.49,1535219991,100,0,2.04,38.02
265,halifax,CA,44.65,44.65,1535216400,53,5,6.93,77.0
266,songea,TZ,-10.68,-10.68,1535219991,67,8,4.16,65.83
267,manyana,AU,-35.26,-35.26,1535216400,100,40,8.05,48.2
268,wilmington island,US,32.0,32.0,1535218740,67,75,8.05,86.0
269,gvarv,NO,59.39,59.39,1535217600,58,20,11.41,59.0
270,sao joao da barra,BR,-21.64,-21.64,1535216400,54,20,4.7,82.4
271,sioux lookout,CA,50.1,50.1,1535216400,82,90,6.93,69.8
272,zambrow,PL,52.99,52.99,1535219993,90,44,4.94,59.35
273,syasstroy,RU,60.14,60.14,1535219993,60,48,9.98,73.3
274,puerto madryn,AR,-42.77,-42.77,1535219536,55,0,8.97,58.09
275,carnarvon,ZA,-30.97,-30.97,1535219994,39,0,15.79,49.63
276,orange cove,US,36.62,36.62,1535218500,41,1,4.7,78.8
277,anadyr,RU,64.73,64.73,1535216400,93,90,8.95,46.4
278,college,US,64.86,64.86,1535217480,93,90,5.61,48.92
279,geraldton,CA,49.72,49.72,1535216400,88,90,5.82,64.4
280,benghazi,LY,32.12,32.12,1535218200,69,40,13.87,82.4
281,maldonado,UY,-34.91,-34.91,1535216400,53,75,26.4,51.8
282,sinegorye,RU,62.09,62.09,1535219996,95,92,2.37,39.73
283,rovaniemi,FI,66.5,66.5,1535217600,76,75,18.34,55.4
284,kozhevnikovo,RU,56.26,56.26,1535219996,74,20,7.63,62.41
285,kwinana,AU,-32.25,-32.25,1535218200,100,12,1.12,46.4
286,zyukayka,RU,58.2,58.2,1535219996,91,0,7.63,54.49
287,ukiah,US,39.15,39.15,1535216160,60,1,1.36,64.94
288,cururupu,BR,-1.82,-1.82,1535219997,69,36,11.43,84.28
289,kobryn,BY,52.21,52.21,1535219997,96,68,4.16,66.1
290,yebaishou,CN,41.4,41.4,1535219997,84,68,4.38,61.42
291,glace bay,CA,46.2,46.2,1535216400,54,75,12.75,80.6
292,cidreira,BR,-30.17,-30.17,1535219998,72,0,23.29,56.83
293,kaitangata,NZ,-46.28,-46.28,1535219998,73,0,19.6,47.11
294,eidfjord,NO,60.47,60.47,1535219999,82,36,2.48,39.73
295,williston,US,48.15,48.15,1535219700,66,75,3.36,59.0
296,pachino,IT,36.72,36.72,1535215800,65,20,10.29,78.8
297,sisophon,KH,13.59,13.59,1535220000,79,92,8.97,79.33
298,nanakuli,US,21.39,21.39,1535216100,88,90,6.93,77.0
299,portadown,GB,54.42,54.42,1535217600,67,40,3.36,59.0
300,sidney,US,47.72,47.72,1535219700,66,75,3.36,59.0
301,hervey bay,AU,-25.3,-25.3,1535219956,93,92,12.66,66.1
302,pytalovo,RU,57.06,57.06,1535220057,89,92,4.61,65.92
303,magaria,NE,13.0,13.0,1535220004,66,36,10.09,81.85
304,klaksvik,FO,62.23,62.23,1535217600,81,44,2.24,48.2
305,radviliskis,LT,55.82,55.82,1535217600,100,75,2.24,57.2
306,sungairaya,ID,0.7,0.7,1535220006,97,68,2.37,74.92
307,adrar,DZ,27.87,27.87,1535216400,12,0,14.99,105.8
308,nioro,GM,13.79,13.79,1535220008,89,44,8.52,84.19
309,itarema,BR,-2.92,-2.92,1535219463,53,0,15.12,91.03
310,vila franca do campo,PT,37.72,37.72,1535218200,60,40,11.41,75.2
311,srednekolymsk,RU,67.46,67.46,1535219464,87,80,5.61,38.92
312,buchanan,LR,5.88,5.88,1535216400,100,90,9.19,75.2
313,borovichi,RU,58.39,58.39,1535220065,56,0,11.99,68.8
314,sao filipe,CV,14.9,14.9,1535220011,89,0,4.94,81.94
315,bontang,ID,0.12,0.12,1535220066,100,32,3.49,80.14
316,vaitape,PF,-16.52,-16.52,1535220067,98,76,6.73,79.6
317,uniontown,US,39.9,39.9,1535218800,63,1,4.7,75.92
318,marrakesh,MA,31.63,31.63,1535218200,17,20,6.93,100.4
319,shakiso,ET,5.77,5.77,1535220014,100,92,2.48,57.1
320,chernyshevskiy,RU,63.01,63.01,1535220015,90,80,2.48,51.43
321,calamba,PH,14.21,14.21,1535216400,100,90,4.7,82.4
322,chateaubelair,VC,13.28,13.28,1535216400,62,75,8.05,87.8
323,aksu,KZ,52.04,52.04,1535216400,76,0,6.71,55.4
324,dobele,LV,56.63,56.63,1535217600,100,0,3.36,59.0
325,beringovskiy,RU,63.05,63.05,1535219320,100,92,5.73,48.64
326,port keats,AU,-14.25,-14.25,1535220018,76,0,5.73,63.13
327,sept-iles,CA,50.2,50.2,1535216400,60,75,11.41,71.6
328,sinnamary,GF,5.38,5.38,1535219445,89,24,10.65,83.92
329,shaowu,CN,27.34,27.34,1535220018,94,44,1.92,72.31
330,namtsy,RU,62.72,62.72,1535220074,95,8,1.92,50.26
331,brae,GB,60.4,60.4,1535217600,71,88,8.05,51.8
332,caravelas,BR,-17.73,-17.73,1535219440,100,0,12.1,76.45
333,astoria,US,46.19,46.19,1535216100,83,90,4.7,60.08
334,mareeba,AU,-16.99,-16.99,1535218200,93,20,4.7,64.4
335,altea,ES,38.6,38.6,1535218200,65,0,8.05,82.4
336,rio grande city,US,26.38,26.38,1535217300,44,40,10.29,96.08
337,koumac,NC,-20.56,-20.56,1535220077,84,92,8.41,68.98
338,avera,US,33.19,33.19,1535218500,52,75,5.82,87.8
339,sorong,ID,-0.86,-0.86,1535220024,100,76,10.54,78.07
340,angoche,MZ,-16.23,-16.23,1535220025,100,0,8.52,76.72
341,lavras,BR,-21.24,-21.24,1535220080,63,32,5.61,76.09
342,lysa hora,UA,51.6,51.6,1535220026,42,0,7.96,67.36
343,asbe teferi,ET,9.08,9.08,1535220027,88,56,2.37,61.69
344,pyrzyce,PL,53.15,53.15,1535218200,93,20,6.93,57.2
345,namibe,AO,-15.19,-15.19,1535220029,100,0,11.1,64.66
346,soyo,AO,-6.13,-6.13,1535219358,65,0,6.4,76.36
347,las palmas,PE,-6.53,-6.53,1535216400,290,20,3.36,62.6
348,lata,IN,30.78,30.78,1535220030,100,68,1.59,58.63
349,kisangani,CD,0.52,0.52,1535220085,95,20,1.92,73.39
350,sukhaya buyvola,RU,45.15,45.15,1535216400,53,0,11.18,71.6
351,poya,NC,-21.35,-21.35,1535220031,100,76,10.09,69.25
352,dicabisagan,PH,17.08,17.08,1535219473,100,92,13.78,77.98
353,cairns,AU,-16.92,-16.92,1535218200,93,20,4.7,64.4
354,maceio,BR,-9.67,-9.67,1535220000,65,40,14.99,80.6
355,nacala,MZ,-14.56,-14.56,1535220032,92,0,7.63,76.63
356,lyuban,BY,52.8,52.8,1535220033,48,12,11.65,73.03
357,iqaluit,CA,63.75,63.75,1535218140,87,75,3.36,42.8
358,isabela,PH,10.2,10.2,1535219494,97,44,2.04,73.03
359,thompson,CA,55.74,55.74,1535216400,100,90,10.29,44.6
360,waipawa,NZ,-39.94,-39.94,1535219460,78,0,3.94,29.56
361,lokoja,NG,7.8,7.8,1535220035,93,80,4.05,75.73
362,kazachinskoye,RU,57.69,57.69,1535220035,92,0,2.71,52.42
363,ibra,OM,22.69,22.69,1535220035,55,48,1.7,81.58
364,kajaani,FI,64.22,64.22,1535217600,67,0,3.36,60.8
365,coihaique,CL,-45.58,-45.58,1535216400,93,90,3.36,50.0
366,ordzhonikidze,UA,44.96,44.96,1535220036,82,0,6.96,75.82
367,pandan,PH,11.72,11.72,1535220037,97,64,17.13,83.65
368,kahului,US,20.89,20.89,1535216160,100,90,12.21,77.0
369,sorland,NO,67.67,67.67,1535220037,100,92,18.03,52.69
370,veraval,FR,49.65,49.65,1535218200,51,40,9.17,60.8
371,fortuna,ES,38.18,38.18,1535218200,65,0,8.05,89.6
372,paamiut,GL,61.99,61.99,1535220038,95,32,14.67,43.87
373,mpongwe,ZM,-13.51,-13.51,1535220039,33,0,9.64,69.7
374,asosa,ET,10.07,10.07,1535220039,87,88,2.59,68.35
375,magdagachi,RU,53.45,53.45,1535220040,91,32,2.37,61.6
376,chicama,PE,-7.84,-7.84,1535216400,77,90,10.29,66.2
377,bezenchuk,RU,52.99,52.99,1535220040,63,0,7.52,61.96
378,presidencia roque saenz pena,AR,-26.79,-26.79,1535220041,39,0,8.75,65.56
379,plotnikovo,RU,55.04,55.04,1535216400,93,90,6.71,57.2
380,labuhan,ID,-2.54,-2.54,1535220042,99,36,2.04,72.13
381,yunhe,CN,28.12,28.12,1535220042,99,92,1.92,71.5
382,huanan,CN,46.24,46.24,1535220043,99,92,8.08,60.16
383,langsa,ID,4.47,4.47,1535219755,93,64,2.37,70.51
384,comodoro rivadavia,AR,-45.87,-45.87,1535216400,41,75,19.46,60.8
385,moerai,PF,-22.43,-22.43,1535220043,96,24,13.67,75.1
386,awjilah,LY,29.14,29.14,1535220044,31,0,9.64,93.82
387,huzhou,CN,30.86,30.86,1535220044,95,92,6.96,77.26
388,tela,HN,15.78,15.78,1535220000,55,40,3.36,89.6
389,perene,PE,-10.95,-10.95,1535220045,70,20,1.48,75.82
390,eyl,SO,7.98,7.98,1535219750,67,8,23.62,79.33
391,mersing,MY,2.43,2.43,1535219482,98,44,5.17,75.19
392,pisco,PE,-13.71,-13.71,1535216400,30,75,10.29,71.6
393,banda aceh,ID,5.56,5.56,1535220046,82,88,5.5,78.25
394,san quintin,PH,17.54,17.54,1535220046,94,92,5.39,70.69
395,ouricuri,BR,-7.88,-7.88,1535220046,28,0,12.44,89.86
396,clyde river,CA,70.47,70.47,1535216400,86,75,23.04,39.2
397,dwarka,IN,28.58,28.58,1535218200,70,40,6.93,86.0
398,namuac,PH,18.61,18.61,1535220047,92,88,8.75,79.78
399,carnot,CF,4.94,4.94,1535220047,93,0,2.15,72.13
400,la roda,ES,39.21,39.21,1535216400,15,0,8.05,93.2
401,peleduy,RU,59.63,59.63,1535220049,100,92,2.71,52.96
402,vestmannaeyjar,IS,63.44,63.44,1535216400,81,40,6.93,51.8
403,makakilo city,US,21.35,21.35,1535216100,87,90,6.93,77.0
404,adeje,NG,5.68,5.68,1535220050,89,88,6.73,77.17
405,palmer,AU,-34.85,-34.85,1535218200,75,0,3.36,42.8
406,linhares,BR,-19.38,-19.38,1535220051,56,0,9.64,83.29
407,brownwood,US,31.71,31.71,1535217300,40,1,11.41,90.32
408,nemuro,JP,43.32,43.32,1535220052,100,100,15.46,59.44
409,moses lake,US,47.13,47.13,1535215980,53,1,6.93,62.96
410,blairmore,CA,49.61,49.61,1535217240,62,90,10.29,59.0
411,bangui,CF,4.39,4.39,1535216400,83,20,4.38,82.4
412,nome,US,30.04,30.04,1535217300,46,40,4.7,93.02
413,laguna,MX,27.52,27.52,1535215560,49,20,2.24,91.4
414,bilibino,RU,68.06,68.06,1535220054,96,92,2.48,33.43
415,vanavara,RU,60.35,60.35,1535219511,99,20,2.37,54.04
416,sumbe,AO,-11.2,-11.2,1535220055,96,20,8.97,71.5
417,aripuana,BR,-9.17,-9.17,1535220056,86,92,4.05,75.55
418,buala,SB,-8.15,-8.15,1535219479,100,92,6.17,78.52
419,mandalay,MM,21.98,21.98,1535220056,98,92,6.17,75.82
420,atkinson,US,41.42,41.42,1535218500,70,75,5.82,86.0
421,lexington,US,38.05,38.05,1535218500,61,40,8.05,82.4
422,guymon,US,36.68,36.68,1535218500,40,1,4.7,93.2
423,caluquembe,AO,-13.78,-13.78,1535220057,29,68,3.71,73.21
424,mbaiki,CF,3.87,3.87,1535220058,82,12,2.59,76.36
425,pochutla,MX,15.74,15.74,1535215680,62,75,8.05,86.0
426,university park,US,32.86,32.86,1535217300,56,1,12.75,91.4
427,hobyo,SO,5.35,5.35,1535220059,72,0,20.71,75.46
428,jizan,SA,16.89,16.89,1535216400,63,40,11.41,93.2
429,alice springs,AU,-23.7,-23.7,1535218200,56,0,5.82,42.8
430,khandbari,NP,27.38,27.38,1535220060,65,92,1.48,45.85
431,oyek,RU,52.59,52.59,1535216400,93,0,4.47,51.8
432,codrington,AU,-28.95,-28.95,1535220060,91,92,1.92,48.37
433,songkhla,TH,7.2,7.2,1535218200,94,20,1.59,77.0
434,paragould,US,36.06,36.06,1535218500,74,1,8.05,87.08
435,cherskiy,RU,68.75,68.75,1535220061,100,88,7.52,34.96
436,kruisfontein,ZA,-34.0,-34.0,1535220061,100,0,1.59,55.3
437,takoradi,GH,4.89,4.89,1535220062,93,64,9.42,76.27
438,tura,IN,25.52,25.52,1535220062,93,56,2.48,79.87
439,lorengau,PG,-2.02,-2.02,1535220062,100,20,2.04,79.96
440,kidal,ML,18.44,18.44,1535220063,75,64,4.05,78.7
441,pizhma,RU,57.86,57.86,1535220063,90,0,3.94,54.67
442,vesoul,FR,47.62,47.62,1535218200,82,92,3.36,59.0
443,huanren,CN,41.26,41.26,1535220064,94,8,3.94,58.81
444,leshukonskoye,RU,64.9,64.9,1535220064,70,0,7.52,59.98
445,te anau,NZ,-45.41,-45.41,1535220065,87,44,8.97,41.8
446,kadhan,PK,24.48,24.48,1535220065,73,64,11.99,81.31
447,yeppoon,AU,-23.13,-23.13,1535218200,82,90,4.7,62.6
448,namatanai,PG,-3.66,-3.66,1535220066,100,32,1.48,81.22
449,nyurba,RU,63.29,63.29,1535220067,95,92,3.71,52.78
450,dothan,US,31.22,31.22,1535218500,63,75,8.05,87.08
451,weligama,LK,5.97,5.97,1535220067,88,56,12.1,79.24
452,zhicheng,CN,35.04,35.04,1535220068,85,0,2.37,71.41
453,waingapu,ID,-9.65,-9.65,1535220068,96,0,3.6,65.74
454,corsicana,US,32.09,32.09,1535217300,54,1,13.87,90.5
455,port augusta,AU,-32.49,-32.49,1535216400,87,0,5.82,42.8
456,thinadhoo,MV,0.53,0.53,1535219504,100,0,5.17,82.39
457,traralgon,AU,-38.19,-38.19,1535220070,89,0,2.37,34.33
458,palembang,ID,-2.99,-2.99,1535216400,100,40,4.7,77.0
459,saveh,IR,35.02,35.02,1535219980,51,0,2.48,68.98
460,altay,CN,47.83,47.83,1535220072,83,36,3.38,43.06
461,tezu,IN,27.93,27.93,1535220072,95,80,1.14,69.88
462,wageningen,NL,51.98,51.98,1535217900,82,80,4.7,59.0
463,igarka,RU,67.47,67.47,1535220073,81,64,6.96,53.5
464,olga,US,34.11,34.11,1535218800,61,75,3.36,77.0
465,emerald,AU,-23.53,-23.53,1535220075,97,100,6.06,59.62
466,ulladulla,AU,-35.36,-35.36,1535216400,100,40,8.05,48.2
467,ust-charyshskaya pristan,RU,52.39,52.39,1535220076,98,8,6.62,57.1
468,lasa,CY,34.92,34.92,1535218200,74,40,10.29,80.6
469,ko samui,TH,9.54,9.54,1535220077,98,92,12.1,83.83
470,golden,CA,51.3,51.3,1535216400,66,90,5.82,51.8
471,dudinka,RU,69.41,69.41,1535220078,97,100,4.94,55.48
472,sawtell,AU,-30.38,-30.38,1535218200,77,90,11.41,59.0
473,sisimiut,GL,66.94,66.94,1535220079,70,48,3.15,44.86
474,teya,MX,21.05,21.05,1535215560,55,75,6.93,89.6
475,gambela,ET,8.25,8.25,1535220081,93,0,2.48,63.04
476,uaua,BR,-9.84,-9.84,1535220081,32,0,13.11,89.95
477,jacqueville,CI,5.21,5.21,1535218200,94,75,5.82,75.2
478,cimarron hills,US,38.86,38.86,1535218500,19,40,7.07,82.58
479,palencia,ES,42.01,42.01,1535218200,27,0,6.93,75.2
480,nizhniy kuranakh,RU,58.84,58.84,1535220083,90,100,2.37,53.14
481,camacha,PT,33.08,33.08,1535218200,73,20,13.87,77.0
482,rio grande,BR,-32.03,-32.03,1535216400,58,75,13.87,55.4
483,carutapera,BR,-1.2,-1.2,1535220084,69,24,13.44,85.45
484,quatre cocos,MU,-20.21,-20.21,1535216400,69,75,12.75,73.4
485,zeya,RU,53.74,53.74,1535220085,84,20,2.15,58.72
486,tabat,ID,-2.64,-2.64,1535220086,91,88,0.47,76.36
487,yaan,NG,7.38,7.38,1535220086,90,80,3.38,76.63
488,bismarck,US,46.81,46.81,1535219700,55,20,9.17,69.98
489,kloulklubed,PW,7.04,7.04,1535219400,94,90,10.09,75.2
490,kavieng,PG,-2.57,-2.57,1535220087,100,44,3.15,81.85
491,aloleng,PH,16.13,16.13,1535220087,100,92,11.21,74.92
492,bunia,CD,1.56,1.56,1535220088,92,20,3.38,65.2
493,dire dawa,ET,9.59,9.59,1535220088,85,64,3.6,64.48
494,davila,PH,18.47,18.47,1535220088,100,88,24.63,78.7
495,verkh-usugli,RU,52.7,52.7,1535220089,85,36,3.49,57.37
496,bud,NO,62.91,62.91,1535217600,81,75,13.87,53.6
497,corinto,BR,-18.36,-18.36,1535220089,41,8,4.72,86.53
498,port lincoln,AU,-34.72,-34.72,1535219973,100,0,3.71,46.93
499,akdepe,TM,42.05,42.05,1535216400,37,0,9.17,71.6
500,changde,CN,29.04,29.04,1535220090,72,0,7.63,74.65
501,teknaf,BD,20.86,20.86,1535219503,100,88,4.05,76.36
502,flinders,AU,-34.58,-34.58,1535216400,100,40,8.05,48.2
503,kapuskasing,CA,49.42,49.42,1535216400,77,90,10.29,66.2
504,marsabit,KE,2.34,2.34,1535220091,52,32,5.73,77.35
505,naze,NG,5.43,5.43,1535216400,69,40,8.05,82.4
506,chico,US,39.73,39.73,1535216040,43,5,2.59,73.04
507,saanen,CH,46.49,46.49,1535217600,59,75,16.11,60.8
508,simitli,BG,41.89,41.89,1535220093,74,12,1.7,61.78
509,gobabis,NA,-22.45,-22.45,1535220093,23,0,9.64,66.82
510,ilebo,CD,-4.33,-4.33,1535220094,95,36,1.7,74.65
511,santa fe,AR,-31.62,-31.62,1535219820,56,0,5.73,59.53
512,hay river,CA,60.82,60.82,1535216400,62,20,12.75,51.8
513,portland,US,45.52,45.52,1535217960,75,90,3.04,60.98
514,kazanka,UA,47.83,47.83,1535218200,26,0,6.71,78.8
515,bathsheba,BB,13.22,13.22,1535216400,62,40,16.11,86.0
516,canakkale,TR,40.15,40.15,1535215800,48,20,8.05,84.2
517,kassala,SD,15.45,15.45,1535220089,70,44,3.71,78.52
518,maxixe,MZ,-23.86,-23.86,1535216400,78,0,9.75,73.4
519,charters towers,AU,-20.07,-20.07,1535220096,95,76,3.04,61.78
520,abu samrah,SY,35.3,35.3,1535220097,28,0,10.54,82.48
521,krasnyy yar,RU,50.7,50.7,1535219513,62,0,4.16,59.44
522,taiyuan,CN,37.86,37.86,1535218200,83,48,2.24,71.6
